FirstName,LastName,PersonPhone,PersonStreet,PersonCity,PersonProvince,PersonPostalCode
Elena,Berdu,403-263-2342,240 4th Ave SW,Calgary,Alberta,T2P4H4
Kevin,Ling,519-631-2777,280 Elm Street,St Thomas,Ontario,N5R1J5
Angie,Trabelsi,519-536-7605,857 Devonshire Ave,Woodstock,Ontario,N4S8Z4
Brian,Juma,905-623-2505,1595 Green Rd,Bowmanville,Ontario,L1C3K7
Janet,Martinez,450-371-4733,"395, Rue Des Erable",Salaberry-De-Valleyfield,Quebec,J6T6J5
Diana,Mensah,819-536-4006,"1600, Rue Trudel",Shawinigan,Quebec,G9N8K8
Eddie,Jallow,418-723-2006,"141, Avenue Leonidas Sud",Rimouski,Quebec,G5L1W2
Rick,Sanchez,450-742-3999,"240, Rue Victoria",Sorel-Tracy,Quebec,J3P1Z5
Ron,Fernandes,705-325-1418,298 Memorial Avenue,Orillia,Ontario,L3V5X6
Joan,Tesfaye,905-951-5570,8400 Healey Rd,Bolton,Ontario,L7E0Y3
Megara,Uwimana,416-506-9138,438 University Avenue,Toronto,Ontario,M5G2K8
Tim,Jean,647-347-6870,70 Gerrard Street West,Toronto,Ontario,M5G1J5
Eric,Ngo,416-203-8787,261 Yonge St,Toronto,Ontario,M5B1N8
Jeanette,Williams,416-979-9685,26 Dundas Street,Toronto,Ontario,M5B2L6
Judith,Ba,780-426-3800,10150 Jasper Avenue,Edmonton,Alberta,T5J1W5
Larry,Gomes,647-346-2385,100 King Street West,Toronto,Ontario,M5X2A1
Olive,Joseph,905-832-7712,9151 Keele Street,Concord,Ontario,L4K5B4
Beth,Smith,905-839-9300,1799 Liverpool Road,Pickering,Ontario,L1V1N2
Geoffrey,Clarke,905-634-5353,601 Brant Street,Burlington,Ontario,L7R2G6
Jacqueline,Saidi,905-804-1764,325 Central Parkway West,Mississauga,Ontario,L5B3X9
Gary,Johannes,514-282-6319,"1508, Rue De Bleury",Montreal,Quebec,H3A2J2
Hanna,Manuel,438-383-4999,"3600, Rue Notre-Dame Ouest",Montreal,Quebec,H4C1P5
Bart,Charles,514-871-1509,"159, St-Antoine Ouest",Montreal,Quebec,H2Z1H2
Laura,Nguema,450-648-8008,"7007, Chemin De La Savance",Saint-Hubert,Quebec,J3Y3X7
Terry,Mohammed,450-443-2929,"1350, Boul. Edouard",St-Hubert,Quebec,J4T3T2
Jason,Ilunga,604-985-4131,1712 Lonsdale Ave,North Vancouver,British Columbia,V7M2J5
Summer,Smith,604-559-8467,1001 Denman St,Vancouver,British Columbia,V6G2M4
Doris,Mwangi,204-942-1224,1 Lombard Ave,Winnipeg,Manitoba,R3B0X3
Ryan,Smith,604-677-6413,1635 Commercial Drive,Vancouver,British Columbia,V5L3Y3
Jake,Lopez,604-732-6913,3205 Arbutus Street,Vancouver,British Columbia,V6J3Z4
Rose,Harris,416-222-5428,4696 Yonge St,North York,Ontario,M2N5M2
Austin,Mori,416-223-9615,185 Sheppard Ave East,North York,Ontario,M2N3A8
Justin,Tellei,604-521-3309,5059 Canada Way,Burnaby,British Columbia,V5E3N1
Denise,Tari,604-439-0027,4700 Kingsway,Burnaby,British Columbia,V5H4N2
Alexander,Hernandez,519-271-6127,693 Erie Street,Stratford,Ontario,N4Z1A1
Marilyn,Chen,613-569-4767,171 Slater Street,Ottawa,Ontario,K1P5H7
Scott,Hansen,905-799-2194,20 Great Lakes Drive,Brampton,Ontario,L6R2K7
Beverly,John,905-789-0104,624 Peter Robertson Blvd,Brampton,Ontario,L6R1T5
Brandon,Smith,905-419-0309,1 Princess Anne Drive,Georgetown,Ontario,L7G2B8
Kayla,Kupfert,905-883-2227,10 Trench Street,Richmond Hill,Ontario,L4C4Z3
Amber,Tamm,905-303-1056,10700 Bathurst St,Maple,Ontario,L6A4B6
Sam,Douglas,905-428-6388,290 Harwood Ave South,Ajax,Ontario,L1S2J1
Gaby,Sari,705-646-9834,9 Depot Drive,Bracebridge,Ontario,P1L1W9
Pete,Perera,519-442-4615,304 Grand River North,Paris,Ontario,N3L3R7
Daisy,De Jong,604-464-6045,2090 Lougheed Hwy,Port Coquitlam,British Columbia,V3B1A8
Henry,Tan,604-944-4813,2929 Barnet Hwy,Coquitlam,British Columbia,V3B5R5
Morty,Smith,780-426-7974,10110 Kingsway Avenue,Edmonton,Alberta,T5H3V8
Sophia,Kim,604-515-4252,1450 United Blvd,Coquitlam,British Columbia,V3K6Y2
Aaron,Melnik,780-632-6090,6801 Hwy 16a West,Vegreville,Alberta,T9C0A4
Natalia,Cohen,780-997-0123,9817 101 Street,Fort Saskatchewan,Alberta,T8L1V5
Tyler,Khan,780-998-7761,113-120 Southridge Blvd,Fort Saskatchewan,Alberta,T8L0P6
Dylan,Ivanov,780-998-1787,30 Westpark Blvd,Fort Saskatchewan,Alberta,T8L4N2
Dennis,Korhonen,418-648-6368,"1060, Rue Louis-Alexandre",Quebec,Quebec,G1R5E6
Sonya,Rusu,780-852-4721,702 Connaught Drive,Jasper,Alberta,T0E1E0
Jerry,Smith,888-601-1616,915 Columbia Street West,Kamloops,British Columbia,V2C1L5
Louise,Papadopoulos,613-422-1317,200 Sparks Street,Ottawa,Ontario,K1P5C1
Fergus,Krasniqi,250-377-4171,490 Powwow Trail,Kamloops,British Columbia,V2H1H1
Russell,Varga,780-416-0392,8005 Emerald Drive,Sherwood Park,Alberta,T8H1Y4
Tyler,Buchel,780-417-4643,2 Pembina Road,Sherwood Park,Alberta,T8H2G9
Ralph,Borg,780-987-4432,180 Miquelon Avenue,Devon,Alberta,T9G0A6
Jackie,Popa,416-862-8899,123 Yonge St,Toronto,Ontario,M5C1W4
Juan,Garcia,416-368-1562,127 Church St,Toronto,Ontario,M5C2G5
Benjamin,Franklin,204-632-7970,1399 Mcphillips Street,Winnipeg,Manitoba,R2V3C4
Grace,Hodzic,416-703-7401,160 Spadina Ave,Toronto,Ontario,M5T2C2
Nathan,Stojanovski,416-255-4152,1001 Islington Ave South,Etobicoke,Ontario,M8Z5X5
Ray,Muller,416-762-9949,2218 Bloor St West,Toronto,Ontario,M6S1N4
Jordan,Gasperoni,416-289-2830,3495 Lawrence Ave East,Scarborough,Ontario,M1H1B3
Gabriel,Silva,416-282-9497,4435 Kingston Rd,Scarborough,Ontario,M1E2N7
Patrick,Martin,416-752-2610,2701 Lawrence Avenue East,Scarborough,Ontario,M1P2S2
Josie,Rossi,416-224-1145,1125 Sheppard Ave East,North York,Ontario,M2K1C5
